,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,last_review,calculated_host_listings_count,availability_365,price_per_minimum_night,review_rate_per_month,is_expensive
31,9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,40,-73,Private room,2019-06-14,1,255,26.0,124.96,False
32,9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,Brooklyn,Greenpoint,40,-73,Private room,2019-06-15,3,284,13.75,325.04999999999995,False
33,9783,back room/bunk beds,32294,Ssameer Or Trip,Manhattan,Harlem,40,-73,Private room,2019-07-01,3,359,16.666666666666668,647.01,False
34,10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-05-12,2,269,70.0,48.84,False
35,10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,Brooklyn,South Slope,40,-73,Private room,2019-06-21,3,340,22.25,236.88,False
37,11708,Cute apt in artist's home,44145,Tyrome,Brooklyn,Bushwick,40,-73,Entire home/apt,2019-06-22,2,22,42.5,452.76,False
39,12048,LowerEastSide apt share shortterm 1,7549,Ben,Manhattan,Lower East Side,40,-73,Shared room,2019-07-05,4,188,40.0,387.34000000000003,False
40,12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40,-73,Private room,2019-06-21,2,96,34.0,509.6,False
41,12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,40,-73,Entire home/apt,2019-05-27,1,345,40.0,5.8500000000000005,False
42,12303,1bdr w private bath. in lofty apt,47618,Yolande,Brooklyn,Fort Greene,40,-73,Private room,2018-09-30,1,311,17.142857142857142,5.75,False
43,12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,40,-73,Private room,2019-06-16,1,273,33.75,55.88999999999999,False
44,12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,40,-73,Entire home/apt,2019-06-13,1,309,21.428571428571427,81.48,False
45,12627,Entire apartment in central Brooklyn neighborhood.,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,40,-73,Entire home/apt,2019-06-05,1,95,5.172413793103448,5.39,False
46,12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40,-73,Private room,2019-07-01,1,215,43.333333333333336,558.0,False
47,12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2019-05-25,1,265,15.714285714285714,31.720000000000002,False
48,13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2017-01-01,1,0,38.333333333333336,1.1,False
49,13394,Fort Greene brownstone ,52335,Alexander,Brooklyn,Fort Greene,40,-73,Private room,2019-06-17,2,192,26.666666666666668,156.6,False
50,13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-06-16,3,251,80.0,113.12,False
51,14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,40,-73,Entire home/apt,2019-07-07,1,302,75.5,45.99,False
52,14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-05-17,1,140,76.0,57.4,False
53,14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,40,-73,Entire home/apt,2019-06-29,1,234,72.0,924.9599999999999,False
54,14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,40,-73,Entire home/apt,2019-03-25,1,257,28.571428571428573,4.18,False
55,14377,Williamsburg 1 bedroom Apartment,56512,Joanna,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-06-22,1,30,5.0,94.5,False
56,14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40,-73,Private room,2019-05-18,1,301,22.0,3.2300000000000004,False
57,15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,40,-73,Private room,2019-06-09,2,294,34.5,719.61,False
58,15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Brooklyn,Greenpoint,40,-73,Private room,2019-06-04,3,320,12.25,164.22,False
59,15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Ted,Manhattan,SoHo,40,-73,Entire home/apt,2019-06-29,1,154,6.0,6.3,False
60,15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40,-73,Private room,2019-06-30,1,263,40.0,15.96,False
61,15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40,-73,Entire home/apt,2018-11-03,1,180,2.0833333333333335,0.6,False
62,15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,40,-73,Entire home/apt,2019-03-30,2,231,125.0,37.62,False
63,16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,40,-73,Entire home/apt,2019-01-26,2,297,6.666666666666667,190.19,False
64,16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40,-73,Private room,2017-09-30,2,292,7.857142857142857,6.21,False
65,16421,Your Heaven in Hells Kitchen,63924,Mark,Manhattan,Hell's Kitchen,40,-73,Private room,2019-05-16,1,191,1.7333333333333334,315.15,False
66,16458,Light-filled 2B duplex in the heart of Park Slope!,64056,Sara,Brooklyn,Park Slope,40,-73,Entire home/apt,2017-09-24,1,0,75.0,0.64,False
67,16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40,-73,Private room,2019-07-01,2,72,80.0,1595.36,False
68,16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-06-23,1,362,275.0,207.2,False
69,16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,40,-73,Private room,2019-06-21,2,336,99.0,133.56,False
70,16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40,-73,Entire home/apt,2019-06-23,1,215,56.25,311.59999999999997,False
71,17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40,-73,Entire home/apt,2018-05-14,1,116,25.555555555555557,21.07,False
72,17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,40,-73,Private room,2019-06-01,1,88,7.285714285714286,9.89,False
73,17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,40,-73,Private room,2019-06-18,2,336,32.5,78.4,False
74,17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,40,-73,Private room,2019-06-26,1,304,52.5,96.60000000000001,False
75,18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40,-73,Entire home/apt,2019-01-02,1,224,38.0,4.2,False
76,18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40,-73,Private room,2019-07-06,1,322,200.0,213.0,False
77,18198,Little King of Queens,70091,Justin,Queens,Woodside,40,-73,Private room,2019-05-31,1,324,2.3333333333333335,5.5,False
78,18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,40,-73,Private room,2019-06-16,1,132,31.666666666666668,183.04,False
79,18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40,-74,Private room,2019-05-28,1,295,50.0,275.55,False
80,18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,40,-73,Private room,2019-04-22,4,238,48.333333333333336,32.940000000000005,False
81,19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40,-73,Entire home/apt,2019-03-23,1,209,3.5483870967741935,26.46,False
82,19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Manhattan,Lower East Side,40,-73,Entire home/apt,2019-06-30,1,328,57.0,43.4,False
83,19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40,-73,Entire home/apt,2019-06-15,1,38,21.666666666666668,2.4,False
84,19319,Private room Great Deal at Lower East Side,44263,Ana,Manhattan,Lower East Side,40,-73,Private room,2019-04-08,1,188,3.1333333333333333,78.96,False
85,19601,perfect for a family or small group,74303,Maggie,Brooklyn,Brooklyn Heights,40,-73,Entire home/apt,2016-08-04,1,7,800.0,6.0,False
86,19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-08-09,1,272,35.0,32.33,False
87,20299,Oh glorious spring!,62407,Edward,Manhattan,East Village,40,-73,Private room,2019-06-30,1,26,20.0,335.62,False
88,20300,Great Location for NYC,76627,Pas,Manhattan,East Village,40,-73,Private room,2016-02-14,1,0,50.0,0.1,False
89,20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Brooklyn,Williamsburg,40,-73,Private room,2019-06-22,4,288,28.333333333333332,267.96,False
90,20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,40,-73,Private room,2019-05-26,1,317,16.25,6.720000000000001,False
91,20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,40,-73,Entire home/apt,2019-06-27,1,207,32.75,564.4,False
92,20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40,-73,Private room,2019-05-31,6,185,14.0,3.2,False
93,20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,40,-73,Entire home/apt,2019-05-21,1,158,35.714285714285715,6.3,False
94,20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-07-22,1,0,20.0,263.76,False
95,21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,40,-73,Entire home/apt,2019-06-18,2,9,35.0,123.9,False
96,21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,40,-73,Entire home/apt,2019-07-07,1,198,46.666666666666664,57.51,False
97,21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40,-73,Private room,2018-10-09,1,365,89.0,0.11,False
98,21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40,-74,Private room,2019-05-01,2,364,3.2666666666666666,8.100000000000001,False
99,22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2018-10-28,2,311,17.857142857142858,170.97,False
100,22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,40,-73,Private room,2019-01-03,3,219,20.0,9.57,False
101,23135,House On Henry (3rd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40,-74,Entire home/apt,2019-06-24,3,342,87.5,486.96999999999997,False
102,23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,40,-73,Private room,2012-11-01,1,312,32.5,40.8,False
103,23686,2000 SF 3br 2bath West Village private  townhouse,93790,Ann,Manhattan,West Village,40,-74,Entire home/apt,2019-05-18,2,243,125.0,25.3,False
104,24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,40,-73,Private room,2019-05-29,1,152,33.666666666666664,1011.7,False
105,24285,Beautiful Duplex Apartment,97797,Brenda,Brooklyn,Park Slope,40,-73,Entire home/apt,2018-11-02,1,9,7.333333333333333,69.52000000000001,False
106,25235,Large 2 Bedroom Great for Groups!,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2019-06-28,2,137,1.3888888888888888,236.51999999999998,False
107,25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-05-26,1,222,2.6666666666666665,11.600000000000001,False
108,25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,40,-73,Private room,2019-06-23,1,346,50.0,273.7,False
109,26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,Jessica,Brooklyn,Gowanus,40,-73,Entire home/apt,2017-03-17,1,208,6.666666666666667,3.8000000000000003,False
110,26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,40,-73,Private room,2019-06-16,2,279,29.5,1002.0,False
111,26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40,-73,Private room,2019-06-02,6,250,62.5,3.8000000000000003,False
112,26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,40,-73,Entire home/apt,2017-12-11,1,164,20.0,1.56,False
113,26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40,-73,Entire home/apt,2018-12-30,2,192,4.0,1970.7399999999998,False
114,26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Bruce,Manhattan,East Village,40,-73,Entire home/apt,2017-08-09,4,298,175.0,0.42,False
115,26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,40,-73,Entire home/apt,2015-12-02,1,260,39.8,14.44,False
116,26969,2 story family home in Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-06-23,1,107,108.33333333333333,975.2399999999999,False
117,27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,40,-73,Entire home/apt,2019-04-27,1,199,39.166666666666664,7.290000000000001,False
118,27385,Great Large 1 BR apt  in East Village!,72062,Bruce,Manhattan,East Village,40,-73,Entire home/apt,2019-06-07,4,299,225.0,120.75,False
119,27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,40,-73,Private room,2019-05-20,3,20,49.5,1132.8,False
120,27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,40,-73,Entire home/apt,2019-07-01,1,318,85.0,395.84999999999997,False
121,27659,3 Story Town House in Park Slope,119588,Vero,Brooklyn,South Slope,40,-73,Entire home/apt,2018-12-30,2,216,200.0,3.84,False
122,27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,40,-73,Entire home/apt,2019-06-26,1,224,24.285714285714285,1.56,False
123,27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40,-73,Entire home/apt,2011-12-10,1,0,25.0,5.75,False
124,28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40,-73,Private room,2018-10-05,1,324,37.5,0.72,False
125,28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,40,-73,Private room,2011-09-18,1,245,90.0,0.72,False
126,28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40,-73,Entire home/apt,2017-08-15,1,189,30.0,3.99,False
127,29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fernando And Lenin,Manhattan,Washington Heights,40,-73,Private room,2017-08-17,1,307,5.666666666666667,11.88,False
128,29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2019-05-14,2,310,23.333333333333332,36.54,False
129,29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,40,-73,Entire home/apt,2019-06-20,3,213,40.0,220.1,False
130,29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,40,-73,Private room,2019-07-03,1,278,29.666666666666668,611.0,False
131,29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,40,-73,Entire home/apt,2019-06-25,1,209,37.0,48.18,False
132,30031,NYC artists’ loft with roof deck,129352,Sol,Brooklyn,Greenpoint,40,-73,Private room,2019-05-20,1,0,16.666666666666668,358.98,False
133,30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,40,-73,Entire home/apt,2019-06-14,1,16,35.0,9.28,False
134,31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,40,-73,Private room,2019-05-26,3,234,65.0,22.5,False
135,31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,40,-74,Entire home/apt,2019-07-01,1,12,3.9655172413793105,6.5,False
136,31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,40,-73,Private room,2019-01-01,1,178,38.5,0.04,False
137,31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40,-73,Private room,2019-06-24,3,275,38.0,1657.14,False
138,32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2019-06-23,2,163,41.666666666666664,474.42999999999995,False
139,32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40,-73,Private room,2019-07-01,3,365,33.75,64.68,False
140,32100,"Modern Greenpoint, Brooklyn Apt",138579,Ali+Scott,Brooklyn,Greenpoint,40,-73,Entire home/apt,2017-07-30,1,34,8.620689655172415,0.09,False
141,32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-06-11,1,280,66.33333333333333,1.0,False
142,32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,40,-73,Entire home/apt,2016-04-24,1,0,70.0,0.16,False
143,32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,40,-73,Private room,2011-09-19,1,1,70.0,0.01,False
144,32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2019-06-20,2,170,38.333333333333336,213.28,False
145,32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-07-02,1,188,53.333333333333336,1.21,False
146,33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-06-17,1,214,48.75,525.6,False
147,33014,NYC Zen,143048,Paula,Manhattan,East Village,40,-73,Entire home/apt,2019-06-17,1,248,65.0,8.4,False
148,33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,40,-73,Private room,2019-06-22,4,262,26.666666666666668,372.0,False
149,34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40,-73,Private room,2019-06-29,5,280,5.5,28.35,False
150,35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,40,-74,Private room,2019-06-22,1,307,39.0,58.46,False
151,36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,40,-73,Private room,2013-05-10,1,339,5.666666666666667,0.8099999999999999,False
152,36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,40,-73,Private room,2019-06-13,1,1,41.666666666666664,249.55,False
153,36442,Great location. Spacious on PROSPECT PARK,137432,Paz,Brooklyn,Prospect Heights,40,-73,Entire home/apt,2018-08-27,1,269,7.666666666666667,0.2,False
154,36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,40,-73,Private room,2017-05-29,1,10,34.5,10.88,False
155,36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,40,-74,Entire home/apt,2019-03-31,1,312,5.0,166.16,False
156,36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,40,-73,Entire home/apt,2018-12-27,1,189,20.833333333333332,6.75,False
157,38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,40,-73,Entire home/apt,2019-06-26,2,290,54.75,146.16,False
158,38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40,-73,Entire home/apt,2018-12-31,1,230,158.33333333333334,6.210000000000001,False
159,39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,40,-73,Entire home/apt,2019-06-08,2,164,99.0,608.4,False
160,39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,40,-73,Private room,2019-05-28,2,53,17.25,375.72,False
161,39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Queens,Sunnyside,40,-73,Private room,2019-04-12,1,126,2.6333333333333333,7.28,False
162,39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2019-06-22,2,3,67.5,883.74,False
163,40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,40,-73,Private room,2011-04-25,1,189,83.33333333333333,1.82,False
164,40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Sylvia,Manhattan,Upper East Side,40,-73,Entire home/apt,2016-09-23,1,365,83.33333333333333,0.32,False
165,41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Brooklyn,Gowanus,40,-73,Entire home/apt,2019-07-06,1,0,125.0,173.6,False
166,41513,Convenient cozy cheap apt Manhattan,181167,Lorenzo,Manhattan,Harlem,40,-73,Entire home/apt,2015-11-02,1,0,26.666666666666668,0.08,False
167,42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,40,-73,Private room,2019-06-24,3,336,35.0,1020.1800000000001,False
168,42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40,-74,Entire home/apt,2019-06-18,3,342,82.5,210.0,False
169,42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,40,-74,Private room,2019-06-13,1,312,35.0,275.56,False
170,43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,40,-73,Private room,2019-06-19,1,37,25.0,44.18,False
171,44096,Room with a View,190409,Waundell,Bronx,Highbridge,40,-73,Private room,2019-07-04,3,353,40.0,446.76,False
172,44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,40,-73,Entire home/apt,2016-07-06,1,177,75.0,343.54,False
173,44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,40,-73,Private room,2019-06-23,4,310,125.0,65.52,False
174,44221,Financial District Luxury Loft,193722,Coral,Manhattan,Financial District,40,-74,Entire home/apt,2019-06-20,1,0,65.33333333333333,120.84,False
175,44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,40,-73,Private room,2019-06-24,2,321,55.0,426.0,False
176,44288,Your own Lovely West Village Studio,193637,Sara,Manhattan,West Village,40,-74,Entire home/apt,2019-06-01,1,246,56.666666666666664,68.8,False
177,44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,40,-73,Entire home/apt,2019-05-26,3,231,55.0,60.0,False
178,45393,Greenwich Village Stylish Apartment,201297,Myrna,Manhattan,West Village,40,-74,Entire home/apt,2016-04-20,1,225,5.769230769230769,13.68,False
179,45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,40,-73,Entire home/apt,2018-12-17,1,0,50.0,32.22,False
180,45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Brooklyn,Fort Greene,40,-73,Private room,2019-06-30,2,0,32.5,395.52,False
